status,momentum_lookback,sma_lookback,regime_lookback,fallback_strategy,total_lookback,train_windows,train_improvement_pct,train_extra_spd_sum_vs_dca,train_win_rate_pct,train_strategy_sats,train_dca_sats,train_fallback_days,error
success,21,60,60,sma_60d_weight,141,6,-2.0335254758343746,-1027.1897245059154,50.0,49485564.44123426,50512754.16574016,54,
success,21,60,60,stacksats_mvrv_weight,141,6,-2.3222742860608103,-1173.0447011720971,50.0,49339709.46456808,50512754.16574016,54,
success,21,60,60,stacksats_momentum_weight,141,6,-2.175912735985752,-1099.1134511895143,50.0,49413640.71455067,50512754.16574016,54,
success,21,60,90,sma_60d_weight,171,6,-2.0958174955506115,-1058.655139290051,50.0,49454099.02645012,50512754.16574016,39,
success,21,60,90,stacksats_mvrv_weight,171,6,-2.3753261706493056,-1199.842669214573,50.0,49312911.4965256,50512754.16574016,39,
success,21,60,90,stacksats_momentum_weight,171,6,-2.2192476268265704,-1121.0030980679294,50.0,49391751.067672245,50512754.16574016,39,
success,21,60,120,sma_60d_weight,201,6,-2.0714329202609516,-1046.3378187196286,50.0,49466416.34702054,50512754.16574016,49,
success,21,60,120,stacksats_mvrv_weight,201,6,-2.3406629354865593,-1182.3333144509234,50.0,49330420.851289235,50512754.16574016,49,
success,21,60,120,stacksats_momentum_weight,201,6,-2.2033879905511644,-1112.9919589845522,50.0,49399762.20675563,50512754.16574016,49,
success,21,60,150,sma_60d_weight,231,6,-2.0084643971452154,-1014.5306834363801,50.0,49498223.48230378,50512754.16574016,33,
success,21,60,150,stacksats_mvrv_weight,231,6,-2.298551134552451,-1161.061483970312,50.0,49351692.68176986,50512754.16574016,33,
success,21,60,150,stacksats_momentum_weight,231,6,-2.134162233249459,-1078.024122379371,50.0,49434730.04336081,50512754.16574016,33,
success,21,60,180,sma_60d_weight,261,6,-2.0098865586311465,-1015.2490563716055,50.0,49497505.109368555,50512754.16574016,33,
success,21,60,180,stacksats_mvrv_weight,261,6,-2.3000440110663933,-1161.8155770137964,50.0,49350938.58872638,50512754.16574016,33,
success,21,60,180,stacksats_momentum_weight,261,6,-2.1356057005687434,-1078.7532574778234,50.0,49434000.90826235,50512754.16574016,33,
success,21,60,200,sma_60d_weight,281,6,-2.0083032725383143,-1014.4492949597916,50.0,49498304.87078038,50512754.16574016,33,
success,21,60,200,stacksats_mvrv_weight,281,6,-2.298391853896886,-1160.9810269243317,50.0,49351773.138815835,50512754.16574016,33,
success,21,60,200,stacksats_momentum_weight,281,6,-2.1340009423957973,-1077.9426499269684,50.0,49434811.5158132,50512754.16574016,33,
success,21,60,210,sma_60d_weight,291,6,-2.0090651248868774,-1014.8341275637285,50.0,49497920.03817643,50512754.16574016,33,
success,21,60,210,stacksats_mvrv_weight,291,6,-2.2992012968832687,-1161.3898988701549,50.0,49351364.26687002,50512754.16574016,33,
success,21,60,210,stacksats_momentum_weight,291,6,-2.134777570322832,-1078.3349460825339,50.0,49434419.219657645,50512754.16574016,33,
success,21,60,240,sma_60d_weight,321,6,-2.010945609178949,-1015.7840119713073,50.0,49496970.15376885,50512754.16574016,33,
success,21,60,240,stacksats_mvrv_weight,321,6,-2.3011645000315606,-1162.3815668502284,50.0,49350372.59888993,50512754.16574016,33,
success,21,60,240,stacksats_momentum_weight,321,6,-2.1366834748246077,-1079.2976709381473,50.0,49433456.49480203,50512754.16574016,33,
success,21,60,270,sma_60d_weight,351,6,-2.0070115666039556,-1013.7968187166261,50.0,49498957.34702354,50512754.16574016,33,
success,21,60,270,stacksats_mvrv_weight,351,6,-2.297085528959175,-1160.3211662199392,50.0,49352432.999520235,50512754.16574016,33,
success,21,60,270,stacksats_momentum_weight,351,6,-2.132705797249246,-1077.2884364429992,50.0,49435465.72929717,50512754.16574016,33,
success,21,60,300,sma_60d_weight,381,6,-1.998120583990426,-1009.3057385261345,50.0,49503448.42721404,50512754.16574016,33,
success,21,60,300,stacksats_mvrv_weight,381,6,-2.2878699156661075,-1155.6661061323466,50.0,49357088.059607826,50512754.16574016,33,
success,21,60,300,stacksats_momentum_weight,381,6,-2.123716343898052,-1072.7476159708676,50.0,49440006.54976931,50512754.16574016,33,
success,21,60,340,sma_60d_weight,421,6,-1.991965473182311,-1006.1966225350043,50.0,49506557.543205164,50512754.16574016,33,
success,21,60,340,stacksats_mvrv_weight,421,6,-2.2815313589967134,-1152.4643265842824,50.0,49360289.83915589,50512754.16574016,33,
success,21,60,340,stacksats_momentum_weight,421,6,-2.1175070495430326,-1069.611130377889,50.0,49443143.03536229,50512754.16574016,33,
success,21,90,60,sma_90d_weight,171,6,-1.4376896925416327,-726.2166600597411,66.66666666666666,49786537.50568045,50512754.16574016,54,
success,21,90,60,stacksats_mvrv_weight,171,6,-1.7927535721855348,-905.5692047156044,50.0,49607184.961024575,50512754.16574016,54,
success,21,90,60,stacksats_momentum_weight,171,6,-1.6404416920451914,-828.6322791350976,66.66666666666666,49684121.886605084,50512754.16574016,54,
success,21,90,90,sma_90d_weight,201,6,-1.569171134248748,-792.6315574828259,66.66666666666666,49720122.60825736,50512754.16574016,35,
