train_window,year,window_start_date,window_end_date,window_days,combined_regime,days,strategy,strategy_sats,dca_sats,extra_sats_vs_dca,strategy_spd,dca_spd,extra_spd_vs_dca,spd_ratio,improvement_pct,status,candidate_weight_col,candidate_weight_col_used_for_eval,uses_shifted_candidate_weight
1,2018,2018-01-01,2018-12-31,365,BTC Bear | Low MVRV | Realized Growth Leading,43,stacksats_mvrv_weight,11387.536800334497,3128389.4947744207,-3117001.957974086,11.387536800334498,3128.3894947744207,-3117.001957974086,0.003640063623585215,-99.63599363764148,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Bear | Low MVRV | Realized Growth Leading,43,stacksats_momentum_weight,3657954.50384704,3128389.4947744207,529565.009072619,3657.9545038470396,3128.3894947744207,529.565009072619,1.1692771983658654,16.92771983658654,better,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Bear | Low MVRV | Realized Growth Leading,43,sma_340d_weight,5467550.737383125,3128389.4947744207,2339161.2426087046,5467.550737383125,3128.3894947744207,2339.1612426087045,1.7477205912230487,74.77205912230487,better,sma_340d_weight,sma_340d_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Bear | Normal MVRV | Realized Growth Leading,41,stacksats_mvrv_weight,6527.813948637172,1793324.1348697962,-1786796.3209211591,6.527813948637172,1793.3241348697961,-1786.796320921159,0.003640063623585327,-99.63599363764146,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Bear | Normal MVRV | Realized Growth Leading,41,stacksats_momentum_weight,1722464.6022253379,1793324.1348697962,-70859.53264445835,1722.4646022253378,1793.3241348697961,-70.85953264445834,0.9604870467827596,-3.9512953217240354,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Bear | Normal MVRV | Realized Growth Leading,41,sma_340d_weight,2539979.0770649216,1793324.1348697962,746654.9421951254,2539.9790770649215,1793.3241348697961,746.6549421951254,1.4163524750919254,41.63524750919254,better,sma_340d_weight,sma_340d_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Bull | Normal MVRV | Realized Growth Leading,102,stacksats_mvrv_weight,3251887.411558796,3108447.794536258,143439.6170225381,3251.887411558796,3108.4477945362582,143.43961702253773,1.046145094434162,4.614509443416193,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Bull | Normal MVRV | Realized Growth Leading,102,stacksats_momentum_weight,2979347.903810914,3108447.794536258,-129099.89072534395,2979.347903810914,3108.4477945362582,-129.09989072534427,0.9584680524626265,-4.153194753737354,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Bull | Normal MVRV | Realized Growth Leading,102,sma_340d_weight,1344297.273351766,3108447.794536258,-1764150.5211844922,1344.2972733517659,3108.4477945362582,-1764.1505211844924,0.4324657714099774,-56.75342285900227,worse,sma_340d_weight,sma_340d_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,102,stacksats_mvrv_weight,7162986.788296443,4196395.063873075,2966591.7244233685,7162.986788296444,4196.395063873075,2966.5917244233688,1.7069381407777524,70.69381407777524,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,102,stacksats_momentum_weight,4416361.994552239,4196395.063873075,219966.9306791639,4416.361994552239,4196.395063873075,219.96693067916385,1.0524180701128136,5.241807011281363,better,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
